date,sector,MtCO2 per day
16/08/2022,Power,3.26
17/08/2022,Power,3.5
18/08/2022,Power,3.57
19/08/2022,Power,3.58
20/08/2022,Power,3.45
21/08/2022,Power,3.3
22/08/2022,Power,3.43
23/08/2022,Power,3.55
24/08/2022,Power,3.58
25/08/2022,Power,3.65
26/08/2022,Power,3.84
27/08/2022,Power,3.79
28/08/2022,Power,3.7
29/08/2022,Power,3.86
30/08/2022,Power,4.02
31/08/2022,Power,3.95
01/09/2022,Power,3.93
02/09/2022,Power,4.0
03/09/2022,Power,4.02
04/09/2022,Power,3.73
05/09/2022,Power,3.95
06/09/2022,Power,4.08
07/09/2022,Power,4.09
08/09/2022,Power,4.02
09/09/2022,Power,3.93
10/09/2022,Power,3.86
11/09/2022,Power,3.52
12/09/2022,Power,3.52
13/09/2022,Power,3.51
14/09/2022,Power,3.52
15/09/2022,Power,3.43
16/09/2022,Power,3.34
17/09/2022,Power,3.26
18/09/2022,Power,3.36
19/09/2022,Power,3.57
20/09/2022,Power,3.63
21/09/2022,Power,3.57
22/09/2022,Power,3.39
23/09/2022,Power,3.25
24/09/2022,Power,3.21
25/09/2022,Power,3.22
26/09/2022,Power,3.57
27/09/2022,Power,3.62
28/09/2022,Power,3.71
29/09/2022,Power,3.75
30/09/2022,Power,3.73
01/10/2022,Power,3.59
02/10/2022,Power,3.39
03/10/2022,Power,3.77
04/10/2022,Power,3.59
05/10/2022,Power,3.44
06/10/2022,Power,3.47
07/10/2022,Power,3.45
08/10/2022,Power,3.37
09/10/2022,Power,3.28
10/10/2022,Power,3.28
11/10/2022,Power,3.35
12/10/2022,Power,3.37
13/10/2022,Power,3.38
14/10/2022,Power,3.35
15/10/2022,Power,3.32
16/10/2022,Power,3.19
17/10/2022,Power,3.4
18/10/2022,Power,3.47
19/10/2022,Power,3.49
20/10/2022,Power,3.49
21/10/2022,Power,3.47
22/10/2022,Power,3.39
23/10/2022,Power,3.14
24/10/2022,Power,2.83
25/10/2022,Power,2.67
26/10/2022,Power,2.95
27/10/2022,Power,3.22
28/10/2022,Power,3.37
29/10/2022,Power,3.36
30/10/2022,Power,3.24
31/10/2022,Power,3.42
01/11/2022,Power,3.53
02/11/2022,Power,3.56
03/11/2022,Power,3.58
04/11/2022,Power,3.58
05/11/2022,Power,3.56
06/11/2022,Power,3.49
07/11/2022,Power,3.64
08/11/2022,Power,3.73
09/11/2022,Power,3.76
10/11/2022,Power,3.74
11/11/2022,Power,3.7
12/11/2022,Power,3.57
13/11/2022,Power,3.5
14/11/2022,Power,3.64
15/11/2022,Power,3.73
16/11/2022,Power,3.77
17/11/2022,Power,3.76
18/11/2022,Power,3.73
19/11/2022,Power,3.74
20/11/2022,Power,3.59
21/11/2022,Power,3.73
22/11/2022,Power,3.81
23/11/2022,Power,3.81
24/11/2022,Power,3.84
25/11/2022,Power,3.86
26/11/2022,Power,3.86
27/11/2022,Power,3.77
28/11/2022,Power,3.86
29/11/2022,Power,3.86
30/11/2022,Power,3.83
01/12/2022,Power,3.83
02/12/2022,Power,3.92
03/12/2022,Power,3.9
04/12/2022,Power,3.74
05/12/2022,Power,3.82
06/12/2022,Power,3.89
07/12/2022,Power,3.94
08/12/2022,Power,3.91
09/12/2022,Power,3.62
10/12/2022,Power,3.68
11/12/2022,Power,3.58
12/12/2022,Power,3.75
13/12/2022,Power,3.75
14/12/2022,Power,3.81
15/12/2022,Power,3.87
16/12/2022,Power,3.96
17/12/2022,Power,3.93
18/12/2022,Power,3.85
19/12/2022,Power,4.15
20/12/2022,Power,4.21
21/12/2022,Power,4.23
22/12/2022,Power,4.25
23/12/2022,Power,4.28
24/12/2022,Power,4.25
25/12/2022,Power,4.1
26/12/2022,Power,4.15
27/12/2022,Power,4.26
28/12/2022,Power,4.33
29/12/2022,Power,4.39
30/12/2022,Power,4.37
31/12/2022,Power,4.32
01/01/2023,Power,4.15
02/01/2023,Power,4.27
03/01/2023,Power,4.32
04/01/2023,Power,4.2
05/01/2023,Power,4.22
06/01/2023,Power,4.3
07/01/2023,Power,4.43
08/01/2023,Power,4.31
09/01/2023,Power,4.42
10/01/2023,Power,4.41
11/01/2023,Power,4.44
12/01/2023,Power,4.42
13/01/2023,Power,4.44
14/01/2023,Power,4.21
15/01/2023,Power,4.03
16/01/2023,Power,4.19
17/01/2023,Power,4.28
18/01/2023,Power,4.37
19/01/2023,Power,4.36
20/01/2023,Power,4.38
21/01/2023,Power,4.35
22/01/2023,Power,4.23
23/01/2023,Power,4.29
24/01/2023,Power,4.36
25/01/2023,Power,4.28
26/01/2023,Power,3.91
27/01/2023,Power,4.04
28/01/2023,Power,4.17
29/01/2023,Power,4.09
30/01/2023,Power,4.14
31/01/2023,Power,4.14
01/02/2023,Power,4.13
02/02/2023,Power,4.28
03/02/2023,Power,4.32
04/02/2023,Power,4.33
05/02/2023,Power,4.2
06/02/2023,Power,4.32
07/02/2023,Power,4.41
08/02/2023,Power,4.46
09/02/2023,Power,4.45
10/02/2023,Power,4.39
11/02/2023,Power,4.4
12/02/2023,Power,4.2
13/02/2023,Power,4.22
14/02/2023,Power,4.41
15/02/2023,Power,4.46
16/02/2023,Power,4.47
17/02/2023,Power,4.52
18/02/2023,Power,4.49
19/02/2023,Power,4.36
20/02/2023,Power,4.44
21/02/2023,Power,4.47
22/02/2023,Power,4.55
23/02/2023,Power,4.55
24/02/2023,Power,4.59
25/02/2023,Power,4.53
26/02/2023,Power,4.41
27/02/2023,Power,4.54
28/02/2023,Power,4.52
01/03/2023,Power,4.51
02/03/2023,Power,4.55
03/03/2023,Power,4.6
04/03/2023,Power,4.62
05/03/2023,Power,4.4
06/03/2023,Power,4.53
07/03/2023,Power,4.24
08/03/2023,Power,4.01
09/03/2023,Power,4.17
10/03/2023,Power,4.44
11/03/2023,Power,4.51
12/03/2023,Power,4.44
13/03/2023,Power,4.62
14/03/2023,Power,4.69
