date,sector,MtCO2 per day
22/09/2024,Power,4.57
23/09/2024,Power,4.76
24/09/2024,Power,4.69
25/09/2024,Power,4.61
26/09/2024,Power,4.33
27/09/2024,Power,4.16
28/09/2024,Power,4.2
29/09/2024,Power,4.26
30/09/2024,Power,4.6
01/10/2024,Power,4.73
02/10/2024,Power,4.6
03/10/2024,Power,4.64
04/10/2024,Power,4.72
05/10/2024,Power,4.68
06/10/2024,Power,4.48
07/10/2024,Power,4.69
08/10/2024,Power,4.81
09/10/2024,Power,4.82
10/10/2024,Power,4.62
11/10/2024,Power,4.52
12/10/2024,Power,4.09
13/10/2024,Power,4.08
14/10/2024,Power,4.55
15/10/2024,Power,4.51
16/10/2024,Power,4.46
17/10/2024,Power,4.43
18/10/2024,Power,4.5
19/10/2024,Power,4.55
20/10/2024,Power,4.29
21/10/2024,Power,4.49
22/10/2024,Power,4.5
23/10/2024,Power,4.52
24/10/2024,Power,4.45
25/10/2024,Power,4.36
26/10/2024,Power,4.35
27/10/2024,Power,4.28
28/10/2024,Power,4.57
29/10/2024,Power,4.7
30/10/2024,Power,4.65
31/10/2024,Power,4.12
01/11/2024,Power,3.86
02/11/2024,Power,3.97
03/11/2024,Power,4.08
04/11/2024,Power,4.19
05/11/2024,Power,4.34
06/11/2024,Power,4.43
07/11/2024,Power,4.48
08/11/2024,Power,4.5
09/11/2024,Power,4.53
10/11/2024,Power,4.34
11/11/2024,Power,4.51
12/11/2024,Power,4.61
13/11/2024,Power,4.56
14/11/2024,Power,4.56
15/11/2024,Power,4.55
16/11/2024,Power,4.34
17/11/2024,Power,4.13
18/11/2024,Power,4.23
19/11/2024,Power,4.34
20/11/2024,Power,4.26
21/11/2024,Power,4.33
22/11/2024,Power,4.34
23/11/2024,Power,4.37
24/11/2024,Power,4.2
25/11/2024,Power,4.28
26/11/2024,Power,4.36
27/11/2024,Power,4.35
28/11/2024,Power,4.25
29/11/2024,Power,4.31
30/11/2024,Power,4.2
